time,source,sink
2270,112.9,38.3
2271,112.7,38.3
2272,112.6,38.2
2273,112.6,38
2274,112.6,38
2275,112.5,38.1
2276,112.5,38
2277,112.7,38.1
2278,112.5,38.1
2279,112.3,38.2
2280,112.5,38.2
2281,112.5,38.1
2282,112.7,38.1
2283,112.8,37.9
2284,113,37.8
2285,112.9,37.7
2286,112.9,37.7
2287,113,37.8
2288,112.9,37.9
2289,112.8,37.9
2290,112.7,38
2291,112.7,38
2292,112.8,38
2293,112.8,38
2294,112.6,38
2295,112.7,38.1
2296,112.7,38.1
2297,112.7,38.1
2298,112.7,38.2
2299,112.8,38.2
2300,112.9,38.2
2301,113,38.2
2302,112.8,38.1
2303,112.7,38.2
2304,112.8,38.2
2305,112.9,38.3
2306,112.8,38.3
2307,112.7,38.3
2308,112.6,38.4
2309,112.6,38.4
2310,112.6,38.4
2311,112.5,38.4
2312,112.6,38.4
2313,112.5,38.3
2314,112.5,38.4
2315,112.4,38.3
2316,112.5,38.4
2317,112.5,38.3
2318,112.6,38.3
2319,112.5,38.3
2320,112.5,38.3
2321,112.5,38.2
2322,112.5,38.2
2323,112.3,38.1
2324,112.3,38.2
2325,112.3,38.2
2326,112.4,38.3
2327,112.5,38.3
2328,112.5,38.3
2329,112.4,38.3
2330,112.4,38.3
2331,112.5,38.3
2332,112.8,38.2
2333,112.8,38.2
2334,112.6,38.2
2335,112.3,38.1
2336,112.2,38.2
2337,112.2,38.3
2338,112.3,38.3
2339,112.4,38.3
2340,112.4,38.3
2341,112.4,38.2
2342,112.5,38.2
2343,112.5,38.3
2344,112.6,38.2
2345,112.8,38.3
2346,112.6,38.2
2347,112.6,38.3
2348,112.4,38.3
2349,112.4,38.2
2350,112.4,38.3
2351,112.6,38.3
2352,112.7,38.3
2353,112.7,38.4
2354,112.7,38.4
2355,112.8,38.4
2356,112.8,38.3
2357,112.8,38.3
2358,113,38.3
2359,113,38.3
2360,113.1,38.3
2361,113.2,38.4
2362,113.2,38.4
2363,113.1,38.2
2364,113.2,38.1
2365,113.3,38.2
2366,113.1,38.2
2367,113,38.2
2368,112.9,38.2
2369,112.9,38.3
2370,112.9,38.2
2371,112.9,38.3
2372,113,38.3
2373,112.9,38.3
2374,112.8,38.3
2375,113,38.2
2376,112.8,38.1
2377,112.8,38.1
2378,112.6,38
2379,112.7,38
2380,112.7,38.1
2381,112.5,38.1
2382,112.3,38.1
2383,112.2,38.1
2384,112.2,38.1
2385,112.6,38.1
2386,112.7,38.2
2387,112.6,38.1
2388,112.6,38.1
2389,113,38
2390,113.1,37.9
2391,113,37.9
2392,113.5,37.7
